Unnamed: 0,file_name,label
0,train_data/a6dcb93f596a43249135678dfcfc17ea.jpg,1
1,train_data/041be3153810433ab146bc97d5af505c.jpg,0
2,train_data/615df26ce9494e5db2f70e57ce7a3a4f.jpg,1
3,train_data/8542fe161d9147be8e835e50c0de39cd.jpg,0
4,train_data/5d81fa12bc3b4cea8c94a6700a477cf2.jpg,1
5,train_data/25ea852f30594bc5915eb929682af429.jpg,0
6,train_data/e67085fb6d814cbabe08f978c738f3f7.jpg,1
7,train_data/041c36d9269146cdb88e7526e3b91651.jpg,0
8,train_data/4aea3b876247467c8d3713d4920148ab.jpg,1
9,train_data/09708379751e44d0bc908d8652d0db3e.jpg,0
10,train_data/774aeb00dbf44520bf3be78bb600bda9.jpg,1
11,train_data/2275dc00b50f4183812b5c3930365598.jpg,0
12,train_data/dea116642f354126b79d048de24010e3.jpg,1
13,train_data/33a6a93ef8074ef684291557a00a408b.jpg,0
14,train_data/340014208f2e46afb5fb1b0837bf52cf.jpg,1
15,train_data/c098c9452c6748ca8d94134d898da05a.jpg,0
16,train_data/fc9dbe25e2d54014a7fafd53198632f5.jpg,1
17,train_data/91f5e18cdfde4d6b929561f4ec150bbf.jpg,0
18,train_data/a02c596a83164f82b794b1b67ff7bcec.jpg,1
19,train_data/6b1b4ec385c346cdb4b5c6e74837df2b.jpg,0
20,train_data/42b279d1413246e3afeaa551b1502bb8.jpg,1
21,train_data/886e1c69d7074598bc752912a7d73ff3.jpg,0
22,train_data/efe82a7f77a5438bbf4b6027a858b6fd.jpg,1
23,train_data/aad5711935d54a2cbbef72fd87e98faf.jpg,0
24,train_data/0977e3fb55254712a6d62b23582f6ad8.jpg,1
25,train_data/babe7b5ef1a9487493bc2a7ab72c95e9.jpg,0
26,train_data/3789c19a070e46c498bf0f47a2385f06.jpg,1
27,train_data/17ce0c8c6e5e4a86aa14106322120368.jpg,0
28,train_data/2bfceb6a7168446bb4ab367b88461ea5.jpg,1
29,train_data/966dafd3d701447ea3f3a06baa4f30cf.jpg,0
30,train_data/f0fbb4fc010a4516b926ce16a597a896.jpg,1
31,train_data/f4619b8c76e643ae94bcab199dd8aa40.jpg,0
32,train_data/749fb4df38824976bac554371e6cf7d3.jpg,1
33,train_data/cff3e8fe3d794bbdac16ea3e65899203.jpg,0
34,train_data/f8ce720b59f849c2a7d86d36420c591d.jpg,1
35,train_data/dc5d5ae4e4f344078e4c78f75b1de704.jpg,0
36,train_data/08b784a25539430ab4b32586951687d9.jpg,1
37,train_data/d7488b07b60b4b9d966708aea7f584f1.jpg,0
38,train_data/633d642bb7bf4b2caa1cc46e58eade76.jpg,1
39,train_data/f3e6483c3b2e40cdbd38ee2b1cd0960a.jpg,0
